model,feature_set,random_seed,test_size,feature_dimension,r2,mae,rmse,mape,test_pred_1,test_pred_2,test_pred_3,test_in_range,r2_above_07,conditions_met
SVR,maccs,250,0.3,167,0.104474966,1.61246699,2.623834073,0.750532136,1.939430679,2.261035084,2.147709436,FALSE,FALSE,FALSE
SVR,morgan,250,0.3,512,0.095697484,1.729944399,2.636661462,0.894716582,2.160910335,2.359507477,2.24035817,FALSE,FALSE,FALSE
CatBoost,maccs,350,0.3,167,0.094624538,10.37974974,14.99101544,1.93647E+15,4.637615622,4.7684496,4.824027134,FALSE,FALSE,FALSE
KNN,all,275,0.3,1408,0.088086686,7.613266667,10.10292483,1.01676E+15,10.4498,10.4588,10.4758,TRUE,FALSE,FALSE
KNN,maccs,400,0.2,167,0.082997239,8.05835,10.58306708,0.553676381,9.087,12.383,12.383,FALSE,FALSE,FALSE
KNN,rdkit,275,0.3,512,0.082103129,7.587666667,10.13601602,5.93875E+14,1.0944,9.8438,10.3132,FALSE,FALSE,FALSE
XGBoost,maccs,275,0.2,167,0.074777059,7.423802873,11.07108883,6.71463E+14,0.955689788,0.417058885,1.189652085,FALSE,FALSE,FALSE
KNN,rdkit,350,0.2,512,0.067955337,7.88035,12.42681827,8.90812E+14,2.266,6.9386,11.7962,FALSE,FALSE,FALSE
SVR,rdkit,375,0.3,512,0.054682404,2.938292432,3.41553161,3.59972E+15,2.118277688,2.712823215,2.338877063,FALSE,FALSE,FALSE
RandomForest,all,350,0.3,1408,0.045260073,10.49273667,15.39427478,1.95945E+15,5.02649,8.23845,6.70727,FALSE,FALSE,FALSE
SVR,all,375,0.3,1408,0.029472465,2.83628709,3.46077503,3.17362E+15,2.035544013,2.511972332,2.230704564,FALSE,FALSE,FALSE
XGBoost,all,350,0.3,1408,0.026184905,9.653840358,15.54729871,7.25543E+14,2.66757679,13.98645306,8.566856384,FALSE,FALSE,FALSE
XGBoost,rdkit,275,0.2,512,0.012035598,8.59959515,11.44030986,8.50485E+14,37.53818893,8.570608139,8.570510864,FALSE,FALSE,FALSE
SVR,morgan,375,0.3,512,0.007026997,2.823004318,3.500565099,3.24709E+15,2.196752054,2.440403979,2.36056065,FALSE,FALSE,FALSE
KNN,maccs,350,0.3,167,0.004494123,10.60526667,15.71949557,2.41138E+15,7.6884,7.6884,7.6884,FALSE,FALSE,FALSE
KNN,descriptors,350,0.3,217,0.00145106,10.26396667,15.74350292,1.92589E+15,7.337,7.337,7.6884,FALSE,FALSE,FALSE
RandomForest,rdkit,350,0.3,512,-0.009183628,10.857045,15.82711616,1.28574E+15,3.70182,9.39909,6.56605,FALSE,FALSE,FALSE
KNN,morgan,275,0.3,512,-0.01136116,8.543433333,10.63955537,7.3838E+15,10.2446,10.2446,10.2446,TRUE,FALSE,FALSE
SVR,morgan,375,0.2,512,-0.01177385,2.720202286,3.087766479,5.11659E+15,2.30330002,2.596797792,2.491938391,FALSE,FALSE,FALSE
XGBoost,descriptors,275,0.2,217,-0.017476,8.949941849,11.60991997,1.10656E+15,37.53874207,37.53874207,37.53874207,TRUE,FALSE,FALSE
RandomForest,descriptors,350,0.3,217,-0.020756515,10.34380167,15.91760677,2.31345E+15,5.63065,6.27551,6.21199,FALSE,FALSE,FALSE
KNN,all,350,0.3,1408,-0.03217378,11.03986667,16.00637925,1.77832E+15,4.2722,7.346,7.363,FALSE,FALSE,FALSE
KNN,rdkit,350,0.3,512,-0.042223993,10.43326667,16.08411705,5.93875E+14,2.266,6.9386,4.5194,FALSE,FALSE,FALSE
SVR,maccs,375,0.3,167,-0.044559464,2.811810041,3.590343674,2.77053E+15,2.037645773,2.417181336,2.200890073,FALSE,FALSE,FALSE
SVR,descriptors,375,0.3,217,-0.05277235,2.768318363,3.604430642,2.47908E+15,2.61853006,2.354994618,2.440651778,FALSE,FALSE,FALSE
LightGBM,morgan,350,0.2,512,-0.054175189,9.605375022,13.21593763,6.3695E+15,5.657250043,5.657250043,5.657250043,FALSE,FALSE,FALSE
LightGBM,maccs,350,0.2,167,-0.054175189,9.605375022,13.21593763,6.3695E+15,5.657250043,5.657250043,5.657250043,FALSE,FALSE,FALSE
LightGBM,rdkit,350,0.2,512,-0.054175189,9.605375022,13.21593763,6.3695E+15,5.657250043,5.657250043,5.657250043,FALSE,FALSE,FALSE
LightGBM,descriptors,350,0.2,217,-0.054175189,9.605375022,13.21593763,6.3695E+15,5.657250043,5.657250043,5.657250043,FALSE,FALSE,FALSE
LightGBM,all,350,0.2,1408,-0.054175189,9.605375022,13.21593763,6.3695E+15,5.657250043,5.657250043,5.657250043,FALSE,FALSE,FALSE
