smiles,alter,split,number,group,CAS
C1=CC(=CC=C1CNC(=O)[O-])CNC(=O)[O-]  ,0,,126,O,
C(CCP(=O)(O)O)CP(=O)(O)O  ,0,,1,P,
CC(C)(C1=CC=C(C=C1)OP(=O)(O)O)C2=CC=C(C=C2)OP(=O)(O)O  ,0,,2,P,
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)P(=O)(O)O)C(=O)NC4=CC=C(C=C4)P(=O)(O)O  ,0,,3,P,
C1=CC(=CC=C1OP(=O)(O)O)OP(=O)(O)O  ,0,,4,P,
C(CCCCOP(=O)(O)O)CCCOP(=O)(O)O  ,0,,5,P,
C1=CC(=CC=C1NC(=O)CCCCCCC(=O)NC2=CC=C(C=C2)P(=O)(O)O)P(=O)(O)O  ,0,,6,P,
C([C@H]([C@H]([C@H]([C@H](COP(=O)(O)O)O)O)O)O)OP(=O)(O)O  ,0,,7,P,
CC1=CC(=CC(=C1P(=O)(O)O)C)C2=CC(=C(C(=C2)C)P(=O)(O)O)C  ,0,,8,P,
CC(C)(P(=O)(O)O)P(=O)(O)O  ,0,,9,P,
C1=CC(=CC=C1N=NC2=CC=C(C=C2)P(=O)(O)O)P(=O)(O)O  ,0,,10,P,
C1=CC=C2C(=C1)C(=CC=[N+]2CCP(=O)(O)O)C3=CC=[N+](C4=CC=CC=C34)CCP(=O)(O)O  ,0,,11,P,
C1=CC(=CC=C1C(F)(F)P(=O)(O)O)C(F)(F)P(=O)(O)O  ,0,,12,P,
CC(C)(CCOCCOCCC(C)(C)COP(=O)(O)O)COP(=O)(O)O  ,0,,13,P,
CC1=CC(=C(C=C1P(=O)(O)O)C)P(=O)(O)O  ,0,,14,P,
CC(C)(CCC(=O)CCC(=O)CCC(C)(C)OP(=O)(O)O)OP(=O)(O)O  ,0,,15,P,
C1=CC(=CC=C1CCP(=O)(O)O)C2=CC=C(C=C2)CCP(=O)(O)O  ,0,,16,P,
CC1=C(C(=C(C(=C1C(CCC(=O)N)(CCC(=O)N)P(=O)(O)O)C)C)C(CCC(=O)N)(CCC(=O)N)P(=O)(O)O)C  ,0,,17,P,
CCC(CC)(C1=CC(=C(C=C1C#N)C(CC)(CC)P(=O)(O)O)C#N)P(=O)(O)O  ,0,,18,P,
C1=C[N+](=CC=C1C2=CC=[N+](C=C2)CCCP(=O)(O)O)CCCP(=O)(O)O  ,0,,19,P,
C(CNCCP(=O)(O)O)NCCP(=O)(O)O  ,0,,20,P,
C1CCN(CCC1)S(=O)(=O)C2=CC\3=C(/C(=N\OCOP(=O)(O)O)/C4=C(/C3=N\OCOP(=O)(O)O)C=CC(=C4)S(=O)(=O)N5CCCCCC5)C=C2  ,0,,21,P,
CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)O)O)O  ,0,,22,P,
C1=CC2=C(C=CC(=C2)P(=O)(O)O)C(=C1)C3=CC=CC4=C3C=CC(=C4)P(=O)(O)O  ,0,,23,P,
C(CNC(=O)OCC(F)(F)P(=O)(O)O)NC(=O)OCC(F)(F)P(=O)(O)O  ,0,,24,P,
C1=CC(=CC=C1CCP(=O)(O)O)NC(=O)CCCCCCCCC(=O)NC2=CC=C(C=C2)CCP(=O)(O)O  ,0,,25,P,
CNC(C1=CC=C(C=C1)P(=O)(O)O)C(C2=CC=C(C=C2)P(=O)(O)O)NC  ,0,,26,P,
C1=C(C(=CC(=C1OP(=O)(O)O)O)OP(=O)(O)O)O  ,0,,27,P,
C1=CC=[N+](C(=C1)C=CC2=CC=CC=[N+]2CP(=O)(O)O)CP(=O)(O)O  ,0,,28,P,
C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2P(=O)(O)O)P(=O)(O)O  ,0,,29,P,
